DB00183,9853654,CC(C)(C)OC(=O)NCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CC3=CC=CC=C3)C(=O)N,9853654,CC(C)(C)OC(=O)NCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CC3=CC=CC=C3)C(=O)N
DB00184,89594,CN1CCCC1C2=CN=CC=C2,89594,CN1CCCC1C2=CN=CC=C2
DB00185,83898,CC1OC2(CN3CCC2CC3)CS1,25137844,CC1OC2(CN3CCC2CC3)CS1
DB00186,3958,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,3958,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
DB00187,59768,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O,59768,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O
DB00188,387447,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,387447,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
DB00189,5281077,CCC(C=CCl)(C#C)O,5281077,CCC(C=CCl)(C#C)O
DB00190,34359,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,34359,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
DB00191,4771,CC(C)(CC1=CC=CC=C1)N,4771,CC(C)(CC1=CC=CC=C1)N
DB00192,52195,CC(C)NCCCC1(C2=CC=CC=C2C3=CC=CC=C31)C(=O)N,52195,CC(C)NCCCC1(C2=CC=CC=C2C3=CC=CC=C31)C(=O)N
DB00193,33741,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,33741,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O
DB00194,21704,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O,21704,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O
DB00195,2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
DB00196,3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
DB00197,5591,CC1=C(C(=C2CCC(OC2=C1C)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C)O,5591,CC1=C(C(=C2CCC(OC2=C1C)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C)O
DB00198,65028,CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC,65028,CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC
DB00199,12560,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,12560,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O
DB00200,45357193,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.O.[Co+2],70678542,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.O.[Co]
DB00201,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
DB00202,5314,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,5314,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00203,5212,CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,5212,CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C
DB00204,71329,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,71329,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C
DB00205,4993,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,4993,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
DB00206,5770,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,5770,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
